Datum	Customer	Country	Catalog Number	Catalog Name	Quantity	Price	Total	Currency_ID	Subsidiary
01.12.14	Dis Norway	NORWAY	R0642L	SbfI, recombinant	1	149,6	149,6	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0655S	PciI, recombinant	1	37,4	37,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0530L	Phusion® High-Fidelity DNA Polymerase	1	239,4	239,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0480S	OneTaq® DNA Polymerase	1	19	19	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	P7711S	ColorPlus™ Prestained Protein Ladder (10-230 kDa)	1	57	57	20	New England Biolabs Germany
01.12.14	UKE /Klinik, HH	GERMANY	R0145M	XbaI, recombinant, conc.	1	217,6	217,6	20	New England Biolabs Germany
01.12.14	UKE /Klinik, HH	GERMANY	R0176S	DpnI, recombinant	1	49,6	49,6	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	R0136L	BamHI, recombinant	1	176,4	176,4	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	N0472S	Supercoiled DNA Ladder	1	93,6	93,6	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	M2200S	Quick Ligation™ Kit	1	89,1	89,1	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	B0202S	NEBuffer Pack for T4 DNA Ligase (#M0202)	1	16,2	16,2	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	M0201S	T4 Polynucleotide Kinase (PNK)	1	52,2	52,2	20	New England Biolabs Germany
01.12.14	UniOS, OS  	GERMANY	P7708S	Prestained Protein Marker, Broad Range, premixed	1	86,4	86,4	20	New England Biolabs Germany
01.12.14	UniOS, OS  	GERMANY	R3162S	BstEII-HF®	1	50,4	50,4	20	New England Biolabs Germany
01.12.14	IPK, Gatersleben	GERMANY	E2611S	Gibson Assembly® Master Mix	1	141,3	141,3	20	New England Biolabs Germany
01.12.14	Roche, MA •R1x	GERMANY	B7204S	CutSmart Buffer	10	15,3	153	20	New England Biolabs Germany
01.12.14	Roche, MA •R1x	GERMANY	R3131L	NheI-HF®	10	217,6	2176	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R3189S	NotI-HF®	1	59,5	59,5	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	M0210S	DNA Pol. Lg. Fragm. (Klenow)	1	49,3	49,3	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R3189S	NotI-HF®	1	59,5	59,5	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R0197S	ClaI, recombinant	1	52,7	52,7	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R0514S	AlwNI, recombinant	1	54,4	54,4	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	P7712S	Color Protein Standard, Broad Range	2	92,65	185,3	20	New England Biolabs Germany
01.12.14	MPI Evo Anthropologie, L SAP	GERMANY	R0145S	XbaI, recombinant	1	53,04	53,04	20	New England Biolabs Germany
01.12.14	MPI Evo Anthropologie, L SAP	GERMANY	R3104S	HindIII-HF®	1	38,22	38,22	20	New England Biolabs Germany
01.12.14	MPI Mol. Zellbio., DD•R1x	GERMANY	R0111L	NdeI, recombinant	1	205,94	205,94	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0302L	T7 Endonuclease I	1	5	5	20	New England Biolabs Germany
01.12.14	Amodia, BS	GERMANY	M0530S	Phusion® High-Fidelity DNA Polymerase	1	90	90	20	New England Biolabs Germany
01.12.14	Amodia, BS	GERMANY	B0349S	NEBNext® dsDNA Fragmentase Reaction Buffer v2	1	25	25	20	New England Biolabs Germany
01.12.14	Amodia, BS	GERMANY	E5200S	LongAmp™ Taq PCR Kit	1	105	105	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B9007S	beta-Nicotinamide adenine dinucleotide (NAD+)	1	16,2	16,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	N0446S	Deoxynucleotide Solution Set	1	94,8	94,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	N3041S	pUC19 DNA	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	N4006S	Hela Genomic DNA	2	34,8	69,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	C2566H	T7 Express Competent E. coli (High Efficiency)	1	107,4	107,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	C2987H	NEB 5-alpha Competent E. coli (High Efficiency)	1	100,1	100,1	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0201L	T4 Polynucleotide Kinase (PNK)	1	139,2	139,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0201S	T4 Polynucleotide Kinase (PNK)	2	34,8	69,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0202L	T4 DNA Ligase	6	163,2	979,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0202M	T4 DNA Ligase, conc.	1	163,2	163,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0202S	T4 DNA Ligase	7	40,8	285,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0203S	T4 DNA Polymerase	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0208L	Taq DNA Ligase	1	180	180	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0210S	DNA Pol. Lg. Fragm. (Klenow)	1	35,4	35,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0212S	DNA Pol. Lg. Fragm. exo-	1	35,4	35,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0242L	T4 RNA Ligase 2, truncated	1	156	156	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0250S	Mung Bean Nuclease	1	36	36	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0261S	Therminator™ DNA Polymerase	1	57,6	57,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0267L	Taq DNA Polymerase	5	120	600	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0269S	Phi 29 DNA Polymerase, recombinant	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0274S	T7 DNA Polymerase (unmodified)	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0277L	AMV Reverse Transcriptase	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0289S	Antarctic Phosphatase	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0290S	Alkaline Phosphatase (CIP)	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0293S	Exonuclease I	5	39	195	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0297L	RNase H, recombinant	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0297S	RNase H, recombinant	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0303L	DNase I (RNase-Free)	1	163,2	163,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0303S	DNase I (RNase-Free)	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0323L	LongAmp® Taq DNA Polymerase	3	150	450	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0367S	Blunt/TA Ligase Master Mix	1	58,8	58,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0368L	ProtoScript® II Reverse Transcriptase	1	90	90	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0370L	Instant Sticky-end Ligase Master Mix	1	235,2	235,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0371S	Shrimp Alkaline Phosphatase (rSAP)	1	34,8	34,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0386S	Cas9 Nuclease, S. pyogenes	1	90	90	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0480S	OneTaq® DNA Polymerase	1	19	19	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0491L	Q5® High-Fidelity DNA Polymerase	3	219,45	658,35	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0491S	Q5® High-Fidelity DNA Polymerase	3	49,5	148,5	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0493L	Q5® Hot Start High-Fidelity DNA Polymerase	1	264	264	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0493S	Q5® Hot Start High-Fidelity DNA Polymerase	1	57,75	57,75	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0530L	Phusion® High-Fidelity DNA Polymerase	1	239,4	239,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	M0530S	Phusion® High-Fidelity DNA Polymerase	8	54	432	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	P0705L	PNGase F (Glycerol Free)	2	321,6	643,2	20	New England Biolabs Germany
